t\x,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1
0.117,1.123,1.24112,1.37166,1.51592,1.67536,1.85156,2.04628,2.26148,2.49931,2.76215,3.05262
0.118,1.12412,1.24236,1.37303,1.51744,1.67704,1.85341,2.04833,2.26375,2.50181,2.76491,3.05567
0.119,1.12524,1.2436,1.37441,1.51896,1.67871,1.85526,2.05038,2.26601,2.50432,2.76768,3.05873
0.12,1.12637,1.24485,1.37578,1.52048,1.68039,1.85712,2.05243,2.26828,2.50682,2.77045,3.06179
0.121,1.1275,1.24609,1.37716,1.522,1.68207,1.85898,2.05449,2.27055,2.50933,2.77322,3.06485
0.122,1.12862,1.24734,1.37854,1.52352,1.68376,1.86084,2.05654,2.27282,2.51184,2.77599,3.06792
0.123,1.12975,1.24859,1.37991,1.52505,1.68544,1.8627,2.0586,2.27509,2.51435,2.77877,3.07099
0.124,1.13088,1.24984,1.3813,1.52657,1.68713,1.86457,2.06066,2.27737,2.51687,2.78155,3.07406
0.125,1.13202,1.25109,1.38268,1.5281,1.68882,1.86643,2.06272,2.27965,2.51939,2.78433,3.07714
0.126,1.13315,1.25234,1.38406,1.52963,1.69051,1.8683,2.06478,2.28193,2.52191,2.78712,3.08022
0.127,1.13428,1.25359,1.38545,1.53116,1.6922,1.87017,2.06685,2.28421,2.52443,2.78991,3.0833
0.128,1.13542,1.25485,1.38683,1.53269,1.69389,1.87204,2.06892,2.2865,2.52696,2.7927,3.08638
0.129,1.13655,1.2561,1.38822,1.53423,1.69559,1.87391,2.07099,2.28879,2.52949,2.79549,3.08947
0.13,1.13769,1.25736,1.38961,1.53576,1.69728,1.87579,2.07306,2.29108,2.53202,2.79829,3.09256
0.131,1.13883,1.25862,1.391,1.5373,1.69898,1.87766,2.07514,2.29337,2.53455,2.80109,3.09566
0.132,1.13997,1.25988,1.39239,1.53884,1.70068,1.87954,2.07721,2.29566,2.53709,2.80389,3.09875
0.133,1.14111,1.26114,1.39378,1.54038,1.70238,1.88142,2.07929,2.29796,2.53962,2.8067,3.10185
0.134,1.14225,1.2624,1.39518,1.54192,1.70409,1.88331,2.08137,2.30026,2.54217,2.80951,3.10496
0.135,1.14339,1.26366,1.39657,1.54346,1.70579,1.88519,2.08345,2.30256,2.54471,2.81232,3.10806
0.136,1.14454,1.26493,1.39797,1.54501,1.7075,1.88708,2.08554,2.30487,2.54726,2.81513,3.11117
0.137,1.14568,1.26619,1.39937,1.54655,1.70921,1.88897,2.08762,2.30717,2.5498,2.81795,3.11429
0.138,1.14683,1.26746,1.40077,1.5481,1.71092,1.89086,2.08971,2.30948,2.55236,2.82077,3.1174
0.139,1.14798,1.26873,1.40217,1.54965,1.71263,1.89275,2.0918,2.31179,2.55491,2.82359,3.12052
0.14,1.14912,1.27,1.40358,1.5512,1.71434,1.89464,2.0939,2.3141,2.55747,2.82641,3.12364
0.141,1.15027,1.27127,1.40498,1.55275,1.71606,1.89654,2.09599,2.31642,2.56002,2.82924,3.12677
0.142,1.15142,1.27254,1.40639,1.5543,1.71778,1.89843,2.09809,2.31874,2.56259,2.83207,3.1299
0.143,1.15258,1.27381,1.40779,1.55586,1.71949,1.90033,2.10019,2.32106,2.56515,2.83491,3.13303
0.144,1.15373,1.27509,1.4092,1.55742,1.72122,1.90224,2.10229,2.32338,2.56772,2.83774,3.13616
0.145,1.15488,1.27636,1.41061,1.55898,1.72294,1.90414,2.10439,2.3257,2.57029,2.84058,3.1393
0.146,1.15604,1.27764,1.41202,1.56054,1.72466,1.90604,2.1065,2.32803,2.57286,2.84342,3.14244
0.147,1.1572,1.27892,1.41344,1.5621,1.72639,1.90795,2.10861,2.33036,2.57543,2.84627,3.14559
0.148,1.15835,1.2802,1.41485,1.56366,1.72811,1.90986,2.11072,2.33269,2.57801,2.84912,3.14873
0.149,1.15951,1.28148,1.41627,1.56522,1.72984,1.91177,2.11283,2.33503,2.58059,2.85197,3.15188
0.15,1.16067,1.28276,1.41768,1.56679,1.73157,1.91368,2.11494,2.33736,2.58317,2.85482,3.15504
0.151,1.16183,1.28404,1.4191,1.56836,1.73331,1.9156,2.11706,2.3397,2.58575,2.85768,3.15819
0.152,1.163,1.28533,1.42052,1.56993,1.73504,1.91752,2.11918,2.34204,2.58834,2.86054,3.16135
0.153,1.16416,1.28661,1.42194,1.5715,1.73678,1.91943,2.1213,2.34439,2.59093,2.8634,3.16452
0.154,1.16532,1.2879,1.42337,1.57307,1.73852,1.92136,2.12342,2.34673,2.59352,2.86626,3.16768
